# all_ap,0.402965
# all_ap_50,0.518352
# all_ap_25,0.581515
# all_rc,0.482257
# all_rc_50,0.559674
# all_rc_25,0.600106
scene_id,AP,AP_50%,AP_25%
05_points_GTv3_14,1.000,1.000,1.000
05_points_GTv3_38,1.000,1.000,1.000
20_points_GTv3_25,1.000,1.000,1.000
05_points_GTv3_21,1.000,1.000,1.000
05_points_GTv3_26,1.000,1.000,1.000
05_points_GTv3_17,1.000,1.000,1.000
05_points_GTv3_25,1.000,1.000,1.000
05_points_GTv3_39,1.000,1.000,1.000
05_points_GTv3_15,1.000,1.000,1.000
05_points_GTv3_56,1.000,1.000,1.000
05_points_GTv3_69,1.000,1.000,1.000
05_points_GTv3_60,1.000,1.000,1.000
05_points_GTv3_97,1.000,1.000,1.000
05_points_GTv3_68,1.000,1.000,1.000
05_points_GTv3_70,1.000,1.000,1.000
10_points_GTv3_08,1.000,1.000,1.000
10_points_GTv3_12,1.000,1.000,1.000
10_points_GTv3_29,1.000,1.000,1.000
10_points_GTv3_26,1.000,1.000,1.000
10_points_GTv3_80,1.000,1.000,1.000
10_points_GTv3_69,1.000,1.000,1.000
10_points_GTv3_79,1.000,1.000,1.000
10_points_GTv3_58,1.000,1.000,1.000
10_points_GTv3_65,1.000,1.000,1.000
10_points_GTv3_81,1.000,1.000,1.000
10_points_GTv3_91,1.000,1.000,1.000
10_points_GTv3_71,1.000,1.000,1.000
20_points_GTv3_71,1.000,1.000,1.000
05_points_GTv3_06,1.000,1.000,1.000
05_points_GTv3_24,1.000,1.000,1.000
05_points_GTv3_33,1.000,1.000,1.000
05_points_GTv3_96,1.000,1.000,1.000
10_points_GTv3_06,1.000,1.000,1.000
10_points_GTv3_10,1.000,1.000,1.000
05_points_GTv3_82,1.000,1.000,1.000
10_points_GTv3_16,1.000,1.000,1.000
10_points_GTv3_36,1.000,1.000,1.000
10_points_GTv3_39,1.000,1.000,1.000
10_points_GTv3_28,1.000,1.000,1.000
10_points_GTv3_49,1.000,1.000,1.000
10_points_GTv3_82,1.000,1.000,1.000
15_points_GTv3_14,1.000,1.000,1.000
25_points_GTv3_10,1.000,1.000,1.000
25_points_GTv3_47,1.000,1.000,1.000
05_points_GTv3_23,0.981,1.000,1.000
15_points_GTv3_02,0.981,1.000,1.000
25_points_GTv3_00,0.981,1.000,1.000
10_points_GTv3_21,0.978,1.000,1.000
10_points_GTv3_78,0.978,1.000,1.000
10_points_GTv3_11,0.972,1.000,1.000
10_points_GTv3_73,0.972,1.000,1.000
15_points_GTv3_90,0.972,1.000,1.000
25_points_GTv3_70,0.970,1.000,1.000
15_points_GTv3_75,0.961,1.000,1.000
25_points_GTv3_64,0.953,1.000,1.000
25_points_GTv3_44,0.946,1.000,1.000
05_points_GTv3_53,0.946,1.000,1.000
05_points_GTv3_63,0.944,1.000,1.000
25_points_GTv3_34,0.938,1.000,1.000
10_points_GTv3_59,0.933,1.000,1.000
10_points_GTv3_74,0.933,1.000,1.000
25_points_GTv3_18,0.925,1.000,1.000
05_points_GTv3_58,0.917,1.000,1.000
10_points_GTv3_68,0.917,1.000,1.000
15_points_GTv3_79,0.911,1.000,1.000
05_points_GTv3_30,0.907,1.000,1.000
10_points_GTv3_75,0.907,1.000,1.000
25_points_GTv3_30,0.905,1.000,1.000
25_points_GTv3_24,0.904,1.000,1.000
05_points_GTv3_88,0.903,1.000,1.000
05_points_GTv3_71,0.900,1.000,1.000
25_points_GTv3_59,0.899,1.000,1.000
15_points_GTv3_29,0.898,1.000,1.000
10_points_GTv3_67,0.889,1.000,1.000
25_points_GTv3_57,0.889,1.000,1.000
15_points_GTv3_93,0.885,1.000,1.000
20_points_GTv3_16,0.884,0.923,0.923
20_points_GTv3_43,0.881,1.000,1.000
05_points_GTv3_83,0.878,0.917,0.917
10_points_GTv3_31,0.872,0.909,0.909
15_points_GTv3_36,0.867,1.000,1.000
20_points_GTv3_82,0.866,1.000,1.000
15_points_GTv3_69,0.861,1.000,1.000
25_points_GTv3_79,0.859,0.875,0.875
25_points_GTv3_15,0.858,0.900,0.900
15_points_GTv3_38,0.855,1.000,1.000
05_points_GTv3_59,0.855,1.000,1.000
25_points_GTv3_35,0.850,0.889,0.889
10_points_GTv3_07,0.841,0.857,0.857
25_points_GTv3_17,0.841,0.857,0.857
10_points_GTv3_66,0.833,0.833,0.833
05_points_GTv3_46,0.833,1.000,1.000
10_points_GTv3_05,0.833,0.875,0.875
25_points_GTv3_65,0.823,0.909,0.909
25_points_GTv3_19,0.822,1.000,1.000
05_points_GTv3_76,0.815,0.833,0.833
20_points_GTv3_65,0.812,0.963,0.963
15_points_GTv3_23,0.810,0.875,0.875
25_points_GTv3_31,0.806,0.818,0.818
05_points_GTv3_20,0.800,0.800,0.800
05_points_GTv3_37,0.800,0.800,0.800
10_points_GTv3_25,0.800,0.800,0.800
10_points_GTv3_46,0.800,0.800,0.800
10_points_GTv3_54,0.800,0.800,0.800
10_points_GTv3_57,0.800,0.800,0.800
10_points_GTv3_83,0.800,0.800,0.800
15_points_GTv3_30,0.800,0.800,0.800
25_points_GTv3_90,0.798,0.846,0.846
15_points_GTv3_85,0.798,0.818,0.818
05_points_GTv3_12,0.786,0.900,0.900
15_points_GTv3_15,0.779,0.900,0.900
20_points_GTv3_66,0.778,1.000,1.000
25_points_GTv3_62,0.778,0.800,0.800
05_points_GTv3_22,0.778,0.833,0.833
25_points_GTv3_63,0.778,0.778,0.778
05_points_GTv3_90,0.778,1.000,1.000
25_points_GTv3_83,0.773,0.909,0.909
10_points_GTv3_64,0.765,0.833,0.833
05_points_GTv3_02,0.764,0.898,0.898
25_points_GTv3_33,0.762,1.000,1.000
15_points_GTv3_76,0.759,1.000,1.000
05_points_GTv3_81,0.757,0.819,0.819
05_points_GTv3_43,0.750,0.750,0.750
10_points_GTv3_13,0.750,0.750,0.750
10_points_GTv3_76,0.750,0.750,0.750
25_points_GTv3_25,0.750,0.750,0.750
25_points_GTv3_72,0.749,0.818,0.818
15_points_GTv3_33,0.748,0.915,0.969
05_points_GTv3_80,0.748,1.000,1.000
15_points_GTv3_10,0.747,1.000,1.000
15_points_GTv3_70,0.743,0.800,1.000
20_points_GTv3_58,0.738,0.857,0.857
20_points_GTv3_31,0.731,0.889,0.889
20_points_GTv3_74,0.728,0.846,0.846
25_points_GTv3_36,0.724,0.782,0.867
25_points_GTv3_05,0.722,0.812,0.812
15_points_GTv3_51,0.721,0.800,0.800
15_points_GTv3_53,0.721,0.816,0.858
05_points_GTv3_01,0.717,0.727,0.727
20_points_GTv3_21,0.714,0.800,0.800
05_points_GTv3_13,0.713,0.767,0.767
