# all_ap,0.151536
# all_ap_50,0.298397
# all_ap_25,0.464295
# all_rc,0.338295
# all_rc_50,0.507667
# all_rc_25,0.638914
scene_id,AP,AP_50%,AP_25%
20_points_GTv3_77,0.259,0.345,0.493
15_points_GTv3_84,0.258,0.410,0.570
20_points_GTv3_37,0.257,0.603,0.632
15_points_GTv3_17,0.257,0.526,0.694
05_points_GTv3_92,0.255,0.556,0.778
20_points_GTv3_35,0.255,0.387,0.507
05_points_GTv3_13,0.251,0.508,0.722
20_points_GTv3_29,0.251,0.403,0.512
10_points_GTv3_90,0.250,0.515,0.563
15_points_GTv3_39,0.248,0.377,0.635
15_points_GTv3_33,0.248,0.338,0.521
10_points_GTv3_75,0.244,0.379,0.588
15_points_GTv3_62,0.243,0.590,0.798
15_points_GTv3_83,0.242,0.315,0.814
15_points_GTv3_46,0.238,0.479,0.479
05_points_GTv3_62,0.237,0.400,0.700
20_points_GTv3_54,0.237,0.446,0.655
20_points_GTv3_71,0.235,0.400,0.553
10_points_GTv3_15,0.234,0.413,0.599
15_points_GTv3_69,0.232,0.448,0.688
15_points_GTv3_26,0.231,0.449,0.630
15_points_GTv3_59,0.231,0.505,0.671
20_points_GTv3_03,0.229,0.444,0.474
10_points_GTv3_93,0.228,0.311,0.534
15_points_GTv3_29,0.228,0.500,0.727
10_points_GTv3_07,0.228,0.447,0.474
15_points_GTv3_77,0.228,0.384,0.478
15_points_GTv3_16,0.226,0.476,0.610
20_points_GTv3_42,0.225,0.467,0.540
10_points_GTv3_20,0.224,0.439,0.729
10_points_GTv3_92,0.222,0.542,0.792
20_points_GTv3_11,0.220,0.453,0.504
15_points_GTv3_63,0.220,0.431,0.777
10_points_GTv3_55,0.218,0.380,0.696
10_points_GTv3_02,0.217,0.371,0.465
05_points_GTv3_84,0.216,0.400,0.441
05_points_GTv3_56,0.215,0.416,0.520
20_points_GTv3_52,0.214,0.354,0.529
20_points_GTv3_09,0.212,0.365,0.596
15_points_GTv3_54,0.210,0.470,0.778
15_points_GTv3_27,0.209,0.429,0.501
20_points_GTv3_39,0.208,0.397,0.545
10_points_GTv3_61,0.208,0.368,0.422
05_points_GTv3_09,0.207,0.750,0.875
15_points_GTv3_55,0.206,0.356,0.576
20_points_GTv3_36,0.206,0.384,0.560
10_points_GTv3_65,0.205,0.500,0.920
10_points_GTv3_10,0.205,0.418,0.781
20_points_GTv3_20,0.204,0.354,0.417
15_points_GTv3_78,0.203,0.348,0.488
05_points_GTv3_25,0.201,0.304,0.573
15_points_GTv3_24,0.201,0.545,0.545
10_points_GTv3_68,0.200,0.372,0.621
15_points_GTv3_66,0.200,0.467,0.610
05_points_GTv3_78,0.199,0.282,0.453
20_points_GTv3_30,0.198,0.333,0.475
20_points_GTv3_31,0.198,0.469,0.711
10_points_GTv3_36,0.198,0.432,0.798
15_points_GTv3_74,0.195,0.425,0.717
10_points_GTv3_04,0.195,0.513,0.693
20_points_GTv3_58,0.195,0.373,0.484
20_points_GTv3_33,0.194,0.448,0.804
15_points_GTv3_73,0.193,0.394,0.541
15_points_GTv3_34,0.192,0.287,0.482
20_points_GTv3_62,0.190,0.286,0.480
20_points_GTv3_05,0.189,0.349,0.508
15_points_GTv3_57,0.186,0.243,0.468
15_points_GTv3_65,0.185,0.397,0.581
05_points_GTv3_73,0.185,0.255,0.325
10_points_GTv3_81,0.183,0.231,0.407
20_points_GTv3_01,0.182,0.320,0.349
20_points_GTv3_49,0.181,0.403,0.677
20_points_GTv3_13,0.180,0.325,0.508
15_points_GTv3_96,0.180,0.420,0.593
10_points_GTv3_97,0.176,0.334,0.528
15_points_GTv3_44,0.174,0.396,0.623
20_points_GTv3_19,0.173,0.296,0.515
10_points_GTv3_18,0.173,0.237,0.239
20_points_GTv3_02,0.172,0.362,0.540
15_points_GTv3_51,0.171,0.421,0.519
05_points_GTv3_31,0.171,0.345,0.410
20_points_GTv3_69,0.170,0.301,0.620
10_points_GTv3_22,0.170,0.286,0.414
20_points_GTv3_24,0.169,0.322,0.468
10_points_GTv3_24,0.169,0.416,0.621
15_points_GTv3_99,0.165,0.365,0.500
20_points_GTv3_10,0.165,0.267,0.453
15_points_GTv3_09,0.163,0.474,0.689
15_points_GTv3_12,0.163,0.467,0.685
15_points_GTv3_28,0.162,0.349,0.587
20_points_GTv3_25,0.161,0.223,0.310
20_points_GTv3_22,0.160,0.359,0.674
05_points_GTv3_54,0.159,0.287,0.386
15_points_GTv3_47,0.159,0.383,0.651
15_points_GTv3_32,0.158,0.246,0.283
10_points_GTv3_08,0.157,0.304,0.944
15_points_GTv3_70,0.153,0.429,0.501
20_points_GTv3_28,0.153,0.223,0.227
20_points_GTv3_51,0.151,0.293,0.412
15_points_GTv3_58,0.151,0.411,0.481
20_points_GTv3_74,0.149,0.227,0.347
15_points_GTv3_31,0.149,0.439,0.789
10_points_GTv3_23,0.148,0.282,0.332
15_points_GTv3_97,0.145,0.438,0.601
15_points_GTv3_04,0.144,0.435,0.630
10_points_GTv3_42,0.143,0.255,0.536
10_points_GTv3_59,0.143,0.301,0.755
15_points_GTv3_37,0.141,0.386,0.526
15_points_GTv3_03,0.141,0.205,0.569
15_points_GTv3_71,0.140,0.348,0.480
15_points_GTv3_13,0.138,0.251,0.341
10_points_GTv3_95,0.137,0.258,0.451
10_points_GTv3_89,0.137,0.238,0.458
20_points_GTv3_04,0.137,0.408,0.659
20_points_GTv3_34,0.136,0.268,0.378
15_points_GTv3_10,0.135,0.374,0.667
05_points_GTv3_26,0.133,0.314,0.314
20_points_GTv3_27,0.133,0.226,0.504
10_points_GTv3_53,0.133,0.305,0.457
15_points_GTv3_42,0.132,0.224,0.358
20_points_GTv3_66,0.132,0.309,0.495
10_points_GTv3_46,0.130,0.221,0.369
15_points_GTv3_22,0.129,0.342,0.640
20_points_GTv3_68,0.129,0.234,0.481
15_points_GTv3_88,0.127,0.195,0.453
05_points_GTv3_61,0.125,0.197,0.465
10_points_GTv3_29,0.125,0.336,0.557
15_points_GTv3_86,0.123,0.275,0.366
15_points_GTv3_08,0.121,0.667,0.778
05_points_GTv3_28,0.121,0.172,0.238
20_points_GTv3_79,0.120,0.188,0.399
20_points_GTv3_53,0.120,0.236,0.415
15_points_GTv3_41,0.118,0.219,0.341
10_points_GTv3_25,0.117,0.273,0.513
20_points_GTv3_12,0.117,0.268,0.275
15_points_GTv3_90,0.116,0.247,0.474
05_points_GTv3_87,0.113,0.183,0.405
10_points_GTv3_43,0.112,0.245,0.531
15_points_GTv3_25,0.110,0.272,0.539
10_points_GTv3_82,0.107,0.350,0.584
20_points_GTv3_07,0.107,0.217,0.272
05_points_GTv3_45,0.105,0.172,0.257
20_points_GTv3_40,0.105,0.192,0.365
15_points_GTv3_11,0.104,0.309,0.600
15_points_GTv3_07,0.103,0.269,0.681
05_points_GTv3_91,0.103,0.181,0.458
20_points_GTv3_70,0.102,0.247,0.325
05_points_GTv3_64,0.102,0.177,0.320
15_points_GTv3_80,0.101,0.348,0.630
10_points_GTv3_47,0.101,0.184,0.324
15_points_GTv3_36,0.100,0.400,0.812
15_points_GTv3_87,0.098,0.243,0.513
20_points_GTv3_06,0.094,0.146,0.250
15_points_GTv3_82,0.094,0.280,0.397
05_points_GTv3_50,0.093,0.171,0.415
15_points_GTv3_81,0.093,0.443,0.882
15_points_GTv3_79,0.092,0.353,0.789
20_points_GTv3_17,0.091,0.192,0.351
20_points_GTv3_45,0.090,0.169,0.285
10_points_GTv3_76,0.090,0.201,0.485
15_points_GTv3_68,0.089,0.221,0.353
05_points_GTv3_44,0.088,0.276,0.306
10_points_GTv3_85,0.087,0.273,0.412
20_points_GTv3_23,0.087,0.207,0.347
05_points_GTv3_69,0.085,0.125,0.812
20_points_GTv3_26,0.083,0.181,0.464
20_points_GTv3_59,0.081,0.163,0.431
10_points_GTv3_14,0.081,0.135,0.296
15_points_GTv3_48,0.080,0.173,0.255
10_points_GTv3_38,0.080,0.160,0.209
15_points_GTv3_52,0.079,0.190,0.547
20_points_GTv3_55,0.078,0.157,0.321
10_points_GTv3_52,0.077,0.177,0.345
15_points_GTv3_06,0.077,0.217,0.557
05_points_GTv3_65,0.075,0.206,0.357
05_points_GTv3_98,0.074,0.144,0.248
20_points_GTv3_14,0.073,0.137,0.137
15_points_GTv3_95,0.073,0.156,0.469
05_points_GTv3_18,0.073,0.126,0.280
20_points_GTv3_00,0.072,0.170,0.227
10_points_GTv3_72,0.071,0.229,0.391
15_points_GTv3_19,0.070,0.367,0.864
15_points_GTv3_94,0.069,0.166,0.381
10_points_GTv3_87,0.069,0.119,0.219
15_points_GTv3_20,0.068,0.286,0.611
05_points_GTv3_74,0.068,0.127,0.293
20_points_GTv3_57,0.067,0.145,0.324
10_points_GTv3_94,0.067,0.179,0.325
05_points_GTv3_20,0.062,0.174,0.540
15_points_GTv3_18,0.062,0.200,0.667
10_points_GTv3_56,0.060,0.146,0.343
15_points_GTv3_89,0.060,0.130,0.538
20_points_GTv3_48,0.058,0.107,0.171
15_points_GTv3_60,0.057,0.143,0.625
05_points_GTv3_29,0.057,0.116,0.283
20_points_GTv3_63,0.057,0.126,0.267
10_points_GTv3_84,0.054,0.081,0.198
10_points_GTv3_37,0.053,0.104,0.229
15_points_GTv3_92,0.050,0.322,0.524
20_points_GTv3_21,0.049,0.116,0.611
05_points_GTv3_75,0.048,0.126,0.324
10_points_GTv3_86,0.047,0.101,0.206
05_points_GTv3_52,0.045,0.159,0.522
10_points_GTv3_40,0.044,0.109,0.317
10_points_GTv3_27,0.043,0.099,0.126
10_points_GTv3_96,0.040,0.102,0.272
10_points_GTv3_60,0.040,0.118,0.376
15_points_GTv3_50,0.038,0.091,0.334
20_points_GTv3_50,0.036,0.109,0.258
15_points_GTv3_05,0.035,0.104,0.223
10_points_GTv3_44,0.035,0.058,0.107
10_points_GTv3_33,0.034,0.116,0.209
05_points_GTv3_93,0.033,0.055,0.313
10_points_GTv3_32,0.031,0.062,0.180
15_points_GTv3_21,0.029,0.134,0.343
10_points_GTv3_51,0.029,0.066,0.093
10_points_GTv3_41,0.028,0.064,0.130
15_points_GTv3_91,0.023,0.054,0.351
10_points_GTv3_01,0.022,0.047,0.094
05_points_GTv3_55,0.021,0.055,0.200
