# all_ap,0.362705
# all_ap_50,0.484304
# all_ap_25,0.545124
# all_rc,0.498391
# all_rc_50,0.595797
# all_rc_25,0.637551
scene_id,AP,AP_50%,AP_25%
15_points_GTv3_69,0.616,0.783,0.906
10_points_GTv3_49,0.614,0.762,0.846
25_points_GTv3_70,0.614,0.640,0.640
10_points_GTv3_75,0.612,0.767,0.844
25_points_GTv3_73,0.612,0.747,0.747
10_points_GTv3_68,0.611,0.717,0.780
15_points_GTv3_73,0.611,0.683,0.683
20_points_GTv3_46,0.609,0.741,0.741
20_points_GTv3_47,0.604,0.849,0.899
05_points_GTv3_66,0.600,0.637,0.637
10_points_GTv3_39,0.600,0.600,0.600
25_points_GTv3_37,0.599,0.833,0.833
15_points_GTv3_63,0.597,0.780,0.836
25_points_GTv3_74,0.597,0.709,0.709
20_points_GTv3_31,0.596,0.719,0.757
10_points_GTv3_20,0.593,0.863,0.867
15_points_GTv3_08,0.591,0.778,0.778
25_points_GTv3_72,0.591,0.791,0.875
05_points_GTv3_14,0.589,0.601,0.601
15_points_GTv3_70,0.588,0.803,0.803
25_points_GTv3_02,0.586,0.810,0.857
10_points_GTv3_26,0.584,0.647,0.647
15_points_GTv3_07,0.582,0.767,0.767
25_points_GTv3_45,0.580,0.731,0.784
20_points_GTv3_15,0.578,0.635,0.724
20_points_GTv3_56,0.577,0.659,0.659
20_points_GTv3_25,0.575,0.609,0.611
15_points_GTv3_39,0.574,0.691,0.841
10_points_GTv3_12,0.572,0.735,1.000
05_points_GTv3_53,0.570,0.648,0.793
15_points_GTv3_74,0.569,0.757,0.828
05_points_GTv3_17,0.568,0.676,0.676
10_points_GTv3_59,0.568,0.774,0.830
20_points_GTv3_18,0.566,0.704,0.704
10_points_GTv3_54,0.566,0.656,0.753
20_points_GTv3_14,0.566,0.710,0.710
15_points_GTv3_55,0.565,0.692,0.788
15_points_GTv3_61,0.565,0.642,0.642
15_points_GTv3_45,0.564,0.610,0.610
15_points_GTv3_23,0.563,0.737,0.737
10_points_GTv3_11,0.562,0.661,0.661
25_points_GTv3_34,0.558,0.766,0.798
15_points_GTv3_09,0.557,0.776,0.816
15_points_GTv3_22,0.554,0.649,0.699
10_points_GTv3_56,0.553,0.656,0.859
10_points_GTv3_46,0.553,0.660,0.806
25_points_GTv3_16,0.548,0.625,0.678
20_points_GTv3_42,0.548,0.739,0.777
25_points_GTv3_49,0.545,0.681,0.831
15_points_GTv3_28,0.542,0.705,0.800
10_points_GTv3_48,0.542,0.628,0.628
25_points_GTv3_89,0.539,0.649,0.711
20_points_GTv3_52,0.538,0.688,0.688
15_points_GTv3_64,0.537,0.624,0.701
10_points_GTv3_90,0.536,0.759,0.759
05_points_GTv3_41,0.536,0.622,0.674
15_points_GTv3_10,0.530,0.622,0.783
05_points_GTv3_08,0.530,0.667,0.667
20_points_GTv3_65,0.530,0.649,0.719
20_points_GTv3_71,0.529,0.646,0.646
05_points_GTv3_33,0.528,0.750,0.750
15_points_GTv3_65,0.527,0.625,0.699
25_points_GTv3_17,0.526,0.686,0.746
25_points_GTv3_69,0.525,0.688,0.751
05_points_GTv3_36,0.525,0.661,0.661
15_points_GTv3_81,0.524,0.871,0.938
10_points_GTv3_42,0.523,0.613,0.732
25_points_GTv3_57,0.522,0.809,0.809
25_points_GTv3_98,0.520,0.693,0.693
15_points_GTv3_49,0.510,0.600,0.600
05_points_GTv3_34,0.509,0.627,0.627
10_points_GTv3_74,0.504,0.682,0.764
15_points_GTv3_33,0.502,0.758,0.767
20_points_GTv3_44,0.501,0.611,0.648
25_points_GTv3_00,0.501,0.602,0.630
10_points_GTv3_88,0.500,0.559,0.690
05_points_GTv3_06,0.500,0.500,0.500
05_points_GTv3_25,0.500,0.500,0.500
05_points_GTv3_13,0.499,0.643,0.687
15_points_GTv3_27,0.498,0.612,0.660
15_points_GTv3_36,0.498,0.704,0.874
25_points_GTv3_65,0.496,0.707,0.707
15_points_GTv3_90,0.496,0.680,0.737
10_points_GTv3_95,0.495,0.576,0.652
10_points_GTv3_91,0.494,0.494,0.494
10_points_GTv3_36,0.493,0.828,0.899
15_points_GTv3_04,0.487,0.720,0.720
15_points_GTv3_51,0.487,0.668,0.739
25_points_GTv3_50,0.487,0.713,0.713
25_points_GTv3_38,0.485,0.693,0.749
15_points_GTv3_34,0.484,0.620,0.787
15_points_GTv3_94,0.480,0.731,0.731
25_points_GTv3_19,0.479,0.561,0.561
15_points_GTv3_38,0.478,0.699,0.814
15_points_GTv3_35,0.478,0.741,0.895
10_points_GTv3_82,0.476,0.722,0.785
20_points_GTv3_83,0.473,0.635,0.703
25_points_GTv3_11,0.473,0.575,0.633
25_points_GTv3_32,0.473,0.535,0.664
10_points_GTv3_55,0.472,0.543,0.635
15_points_GTv3_83,0.470,0.598,0.775
10_points_GTv3_08,0.469,0.767,0.767
10_points_GTv3_04,0.468,0.680,0.771
15_points_GTv3_03,0.468,0.616,0.718
15_points_GTv3_56,0.468,0.653,0.653
20_points_GTv3_69,0.468,0.585,0.741
20_points_GTv3_32,0.466,0.629,0.711
25_points_GTv3_71,0.464,0.646,0.736
25_points_GTv3_36,0.463,0.580,0.676
25_points_GTv3_52,0.459,0.544,0.608
10_points_GTv3_43,0.459,0.640,0.679
05_points_GTv3_73,0.458,0.495,0.597
15_points_GTv3_59,0.457,0.543,0.647
20_points_GTv3_10,0.452,0.562,0.562
10_points_GTv3_69,0.449,0.750,0.750
15_points_GTv3_24,0.447,0.602,0.602
15_points_GTv3_77,0.445,0.570,0.596
15_points_GTv3_11,0.444,0.554,0.642
20_points_GTv3_35,0.444,0.549,0.655
25_points_GTv3_88,0.444,0.518,0.569
15_points_GTv3_60,0.444,0.682,0.812
15_points_GTv3_48,0.443,0.563,0.563
20_points_GTv3_94,0.443,0.588,0.588
10_points_GTv3_19,0.442,0.850,0.850
20_points_GTv3_92,0.438,0.575,0.614
05_points_GTv3_47,0.438,0.573,0.636
20_points_GTv3_64,0.438,0.548,0.616
25_points_GTv3_01,0.437,0.596,0.596
05_points_GTv3_60,0.436,0.552,0.750
05_points_GTv3_78,0.436,0.436,0.538
25_points_GTv3_26,0.432,0.678,0.709
15_points_GTv3_80,0.430,0.698,0.698
10_points_GTv3_15,0.430,0.486,0.627
25_points_GTv3_07,0.429,0.633,0.708
25_points_GTv3_99,0.426,0.762,0.762
20_points_GTv3_22,0.426,0.541,0.690
10_points_GTv3_65,0.425,0.920,0.920
20_points_GTv3_29,0.425,0.540,0.540
25_points_GTv3_90,0.424,0.440,0.440
20_points_GTv3_12,0.423,0.516,0.593
25_points_GTv3_03,0.423,0.546,0.570
15_points_GTv3_86,0.422,0.546,0.617
15_points_GTv3_84,0.419,0.529,0.586
20_points_GTv3_68,0.418,0.575,0.598
20_points_GTv3_60,0.418,0.630,0.630
15_points_GTv3_16,0.417,0.524,0.669
20_points_GTv3_87,0.415,0.664,0.664
15_points_GTv3_26,0.415,0.670,0.757
25_points_GTv3_12,0.414,0.488,0.618
20_points_GTv3_76,0.413,0.668,0.705
20_points_GTv3_93,0.412,0.500,0.545
15_points_GTv3_52,0.411,0.524,0.747
20_points_GTv3_28,0.411,0.530,0.530
25_points_GTv3_77,0.410,0.514,0.569
20_points_GTv3_74,0.409,0.498,0.591
15_points_GTv3_91,0.408,0.684,0.725
05_points_GTv3_11,0.407,0.713,0.713
25_points_GTv3_43,0.404,0.532,0.532
10_points_GTv3_10,0.404,0.597,0.660
25_points_GTv3_46,0.403,0.574,0.654
25_points_GTv3_60,0.403,0.500,0.500
20_points_GTv3_05,0.403,0.553,0.553
05_points_GTv3_39,0.400,0.400,0.400
05_points_GTv3_70,0.400,0.400,0.400
15_points_GTv3_76,0.399,0.542,0.765
15_points_GTv3_18,0.399,0.667,0.667
20_points_GTv3_79,0.398,0.512,0.577
15_points_GTv3_57,0.395,0.593,0.649
05_points_GTv3_20,0.393,0.480,0.643
20_points_GTv3_54,0.392,0.558,0.608
05_points_GTv3_86,0.391,0.631,0.631
05_points_GTv3_40,0.391,0.630,0.709
15_points_GTv3_71,0.389,0.508,0.600
15_points_GTv3_44,0.389,0.502,0.616
25_points_GTv3_41,0.389,0.563,0.596
15_points_GTv3_78,0.388,0.501,0.526
20_points_GTv3_96,0.388,0.602,0.659
20_points_GTv3_99,0.386,0.495,0.600
15_points_GTv3_92,0.380,0.573,0.810
25_points_GTv3_97,0.380,0.533,0.642
15_points_GTv3_06,0.377,0.593,0.677
15_points_GTv3_05,0.377,0.496,0.561
15_points_GTv3_98,0.375,0.440,0.615
