# all_ap,0.234402
# all_ap_50,0.331129
# all_ap_25,0.444016
# all_rc,0.421954
# all_rc_50,0.579199
# all_rc_25,0.749053
scene_id,AP,AP_50%,AP_25%
20_points_GTv3_03,0.294,0.454,0.562
15_points_GTv3_66,0.294,0.420,0.519
05_points_GTv3_62,0.294,0.392,0.392
20_points_GTv3_41,0.292,0.438,0.526
15_points_GTv3_31,0.292,0.406,0.526
10_points_GTv3_07,0.291,0.404,0.481
15_points_GTv3_11,0.291,0.418,0.525
05_points_GTv3_37,0.291,0.496,0.496
15_points_GTv3_73,0.290,0.382,0.462
15_points_GTv3_59,0.290,0.385,0.551
15_points_GTv3_92,0.290,0.476,0.655
15_points_GTv3_49,0.288,0.470,0.578
15_points_GTv3_06,0.288,0.436,0.516
05_points_GTv3_81,0.287,0.374,0.489
15_points_GTv3_38,0.287,0.381,0.507
20_points_GTv3_08,0.286,0.352,0.444
05_points_GTv3_72,0.285,0.369,0.522
10_points_GTv3_36,0.285,0.296,0.462
20_points_GTv3_05,0.284,0.377,0.533
10_points_GTv3_74,0.283,0.368,0.480
15_points_GTv3_63,0.283,0.453,0.557
05_points_GTv3_41,0.282,0.367,0.463
05_points_GTv3_24,0.282,0.482,0.482
20_points_GTv3_01,0.281,0.390,0.484
20_points_GTv3_31,0.281,0.401,0.554
15_points_GTv3_27,0.281,0.369,0.541
20_points_GTv3_21,0.278,0.449,0.600
15_points_GTv3_57,0.278,0.414,0.448
20_points_GTv3_42,0.278,0.377,0.565
20_points_GTv3_72,0.277,0.435,0.467
20_points_GTv3_61,0.276,0.403,0.516
15_points_GTv3_17,0.276,0.373,0.502
15_points_GTv3_85,0.276,0.483,0.516
20_points_GTv3_07,0.274,0.377,0.514
10_points_GTv3_95,0.274,0.345,0.463
15_points_GTv3_72,0.273,0.392,0.519
10_points_GTv3_88,0.271,0.380,0.474
10_points_GTv3_66,0.271,0.407,0.457
20_points_GTv3_17,0.270,0.414,0.561
10_points_GTv3_61,0.270,0.347,0.412
10_points_GTv3_57,0.270,0.363,0.443
15_points_GTv3_65,0.269,0.367,0.477
05_points_GTv3_34,0.269,0.416,0.467
10_points_GTv3_20,0.268,0.348,0.419
15_points_GTv3_35,0.267,0.410,0.586
20_points_GTv3_52,0.267,0.401,0.516
10_points_GTv3_11,0.264,0.424,0.424
20_points_GTv3_45,0.263,0.374,0.431
