# all_ap,0.359795
# all_ap_50,0.476091
# all_ap_25,0.583397
# all_rc,0.528831
# all_rc_50,0.619489
# all_rc_25,0.684508
scene_id,AP,AP_50%,AP_25%
10_points_GTv3_43,0.651,0.750,0.750
10_points_GTv3_31,0.649,0.671,0.790
15_points_GTv3_81,0.645,1.000,1.000
05_points_GTv3_21,0.642,0.663,0.663
15_points_GTv3_56,0.637,0.802,0.802
15_points_GTv3_30,0.636,0.800,0.800
15_points_GTv3_51,0.636,0.800,0.800
20_points_GTv3_74,0.635,0.753,0.794
20_points_GTv3_38,0.635,0.825,0.917
05_points_GTv3_24,0.627,0.627,1.000
05_points_GTv3_82,0.627,0.627,0.627
15_points_GTv3_74,0.624,0.833,0.833
05_points_GTv3_02,0.624,0.810,0.810
20_points_GTv3_15,0.616,0.686,0.759
20_points_GTv3_41,0.614,0.895,0.895
10_points_GTv3_46,0.613,0.613,0.613
15_points_GTv3_55,0.608,0.747,0.747
10_points_GTv3_21,0.607,0.663,1.000
05_points_GTv3_41,0.605,0.748,0.748
05_points_GTv3_34,0.603,0.696,0.909
20_points_GTv3_18,0.603,0.705,0.713
15_points_GTv3_02,0.600,0.663,0.663
05_points_GTv3_53,0.590,0.627,1.000
10_points_GTv3_67,0.590,0.963,0.963
20_points_GTv3_35,0.589,0.762,0.762
05_points_GTv3_86,0.587,0.625,0.625
05_points_GTv3_76,0.585,0.833,0.833
15_points_GTv3_36,0.584,0.857,0.857
10_points_GTv3_93,0.573,0.592,0.592
20_points_GTv3_19,0.572,0.773,0.773
10_points_GTv3_61,0.568,0.644,0.782
05_points_GTv3_72,0.565,0.833,0.833
20_points_GTv3_17,0.565,0.741,0.807
10_points_GTv3_18,0.559,0.559,0.667
20_points_GTv3_77,0.559,0.716,0.716
05_points_GTv3_57,0.557,0.942,0.942
05_points_GTv3_62,0.556,0.600,0.600
15_points_GTv3_65,0.552,0.589,0.818
20_points_GTv3_56,0.537,0.909,0.909
05_points_GTv3_49,0.537,0.667,0.667
15_points_GTv3_64,0.537,0.658,0.734
15_points_GTv3_39,0.536,0.720,0.720
15_points_GTv3_26,0.535,0.818,0.818
10_points_GTv3_04,0.532,0.770,0.944
20_points_GTv3_58,0.530,0.815,0.905
15_points_GTv3_08,0.530,0.800,0.800
05_points_GTv3_63,0.527,0.579,0.579
15_points_GTv3_46,0.527,0.702,0.709
20_points_GTv3_60,0.527,0.648,0.800
15_points_GTv3_62,0.526,0.875,0.875
20_points_GTv3_33,0.523,0.559,0.669
15_points_GTv3_66,0.517,0.682,0.750
20_points_GTv3_44,0.517,0.772,0.772
20_points_GTv3_22,0.512,0.645,0.857
15_points_GTv3_22,0.508,0.668,0.668
15_points_GTv3_73,0.507,0.639,0.917
15_points_GTv3_68,0.507,0.562,0.625
05_points_GTv3_67,0.507,0.613,0.751
20_points_GTv3_29,0.506,0.640,0.722
05_points_GTv3_80,0.505,0.647,0.647
20_points_GTv3_20,0.503,0.727,0.727
15_points_GTv3_31,0.502,0.667,0.667
20_points_GTv3_13,0.496,0.563,0.563
15_points_GTv3_54,0.494,0.667,0.667
15_points_GTv3_94,0.489,0.576,0.614
20_points_GTv3_64,0.487,0.645,0.827
05_points_GTv3_16,0.486,0.508,0.508
05_points_GTv3_42,0.485,0.496,0.496
15_points_GTv3_44,0.482,0.739,0.923
15_points_GTv3_76,0.482,0.593,0.716
20_points_GTv3_62,0.479,0.762,0.762
10_points_GTv3_53,0.477,0.833,0.833
15_points_GTv3_09,0.475,0.649,0.778
20_points_GTv3_45,0.474,0.601,0.601
20_points_GTv3_39,0.472,0.583,0.583
15_points_GTv3_97,0.465,0.556,0.556
10_points_GTv3_83,0.463,0.463,0.800
15_points_GTv3_34,0.462,0.616,0.779
10_points_GTv3_10,0.461,0.461,0.461
05_points_GTv3_66,0.460,0.536,0.736
05_points_GTv3_73,0.458,0.545,0.545
20_points_GTv3_08,0.456,0.683,0.783
20_points_GTv3_09,0.452,0.515,0.769
20_points_GTv3_32,0.451,0.650,0.650
15_points_GTv3_18,0.450,0.833,0.833
15_points_GTv3_43,0.450,0.684,0.846
15_points_GTv3_47,0.450,0.630,0.630
05_points_GTv3_81,0.449,0.534,0.534
15_points_GTv3_32,0.449,0.477,0.553
10_points_GTv3_19,0.441,0.461,0.461
10_points_GTv3_22,0.441,0.533,0.533
20_points_GTv3_52,0.440,0.506,0.955
15_points_GTv3_24,0.439,0.626,0.800
05_points_GTv3_92,0.438,1.000,1.000
10_points_GTv3_57,0.437,0.450,0.450
20_points_GTv3_59,0.436,0.642,0.700
15_points_GTv3_59,0.427,0.690,0.690
10_points_GTv3_07,0.426,0.600,0.600
05_points_GTv3_70,0.417,0.417,0.417
20_points_GTv3_53,0.416,0.530,0.716
10_points_GTv3_55,0.409,0.562,0.562
15_points_GTv3_63,0.407,0.786,0.786
05_points_GTv3_84,0.406,0.498,0.498
20_points_GTv3_07,0.402,0.696,0.696
15_points_GTv3_67,0.398,0.714,0.823
15_points_GTv3_77,0.393,0.562,0.562
15_points_GTv3_42,0.393,0.567,0.692
20_points_GTv3_00,0.386,0.552,0.592
20_points_GTv3_01,0.386,0.552,0.729
05_points_GTv3_88,0.380,0.417,0.417
15_points_GTv3_57,0.375,0.526,0.627
05_points_GTv3_50,0.366,0.500,0.556
15_points_GTv3_50,0.366,0.667,0.667
10_points_GTv3_81,0.363,0.504,0.579
15_points_GTv3_78,0.356,0.520,0.575
