# all_ap,0.204536
# all_ap_50,0.301371
# all_ap_25,0.406463
# all_rc,0.496292
# all_rc_50,0.616453
# all_rc_25,0.700072
scene_id,AP,AP_50%,AP_25%
15_points_GTv3_88,0.339,0.472,0.502
10_points_GTv3_13,0.334,0.377,0.408
05_points_GTv3_20,0.334,0.405,0.498
05_points_GTv3_58,0.333,0.426,0.426
15_points_GTv3_60,0.330,0.499,0.690
20_points_GTv3_08,0.329,0.375,0.456
20_points_GTv3_22,0.324,0.406,0.546
20_points_GTv3_77,0.323,0.483,0.625
05_points_GTv3_01,0.322,0.370,0.464
15_points_GTv3_06,0.322,0.528,0.602
15_points_GTv3_55,0.317,0.412,0.517
05_points_GTv3_72,0.317,0.326,0.326
15_points_GTv3_65,0.315,0.396,0.594
10_points_GTv3_11,0.315,0.375,0.433
15_points_GTv3_99,0.315,0.535,0.619
05_points_GTv3_36,0.315,0.420,0.519
20_points_GTv3_38,0.314,0.373,0.655
05_points_GTv3_37,0.308,0.677,0.677
10_points_GTv3_29,0.307,0.449,0.642
20_points_GTv3_09,0.307,0.445,0.633
15_points_GTv3_67,0.307,0.462,0.623
10_points_GTv3_17,0.306,0.333,0.442
20_points_GTv3_05,0.300,0.410,0.688
15_points_GTv3_61,0.300,0.356,0.504
05_points_GTv3_10,0.299,0.386,0.386
15_points_GTv3_44,0.298,0.372,0.486
20_points_GTv3_72,0.296,0.420,0.609
15_points_GTv3_89,0.296,0.466,0.681
05_points_GTv3_15,0.295,0.295,0.541
15_points_GTv3_78,0.294,0.423,0.536
15_points_GTv3_04,0.294,0.558,0.558
20_points_GTv3_42,0.292,0.384,0.409
15_points_GTv3_39,0.289,0.395,0.457
15_points_GTv3_54,0.289,0.507,0.599
15_points_GTv3_28,0.288,0.449,0.515
20_points_GTv3_29,0.288,0.407,0.407
10_points_GTv3_48,0.288,0.471,0.474
10_points_GTv3_54,0.282,0.428,0.529
20_points_GTv3_62,0.281,0.340,0.479
10_points_GTv3_24,0.281,0.351,0.593
20_points_GTv3_18,0.280,0.346,0.481
10_points_GTv3_90,0.280,0.439,0.508
10_points_GTv3_00,0.278,0.599,0.599
15_points_GTv3_38,0.278,0.404,0.483
05_points_GTv3_32,0.277,0.294,0.342
20_points_GTv3_32,0.276,0.380,0.489
10_points_GTv3_74,0.275,0.409,0.427
15_points_GTv3_98,0.273,0.327,0.445
20_points_GTv3_71,0.272,0.353,0.403
20_points_GTv3_02,0.271,0.493,0.504
05_points_GTv3_42,0.266,0.359,0.390
15_points_GTv3_83,0.266,0.348,0.609
20_points_GTv3_30,0.264,0.327,0.503
10_points_GTv3_88,0.263,0.365,0.411
20_points_GTv3_54,0.261,0.408,0.478
15_points_GTv3_12,0.261,0.443,0.590
10_points_GTv3_68,0.261,0.346,0.442
05_points_GTv3_34,0.253,0.311,0.311
20_points_GTv3_69,0.251,0.442,0.572
15_points_GTv3_45,0.251,0.345,0.585
05_points_GTv3_16,0.250,0.287,0.287
10_points_GTv3_75,0.249,0.354,0.388
20_points_GTv3_37,0.248,0.418,0.440
15_points_GTv3_33,0.247,0.396,0.438
20_points_GTv3_33,0.247,0.368,0.588
20_points_GTv3_03,0.247,0.431,0.462
05_points_GTv3_86,0.245,0.330,0.361
10_points_GTv3_55,0.245,0.288,0.596
15_points_GTv3_37,0.244,0.426,0.466
15_points_GTv3_91,0.243,0.446,0.481
20_points_GTv3_46,0.243,0.456,0.456
10_points_GTv3_80,0.243,0.243,0.347
10_points_GTv3_57,0.243,0.328,0.428
15_points_GTv3_03,0.243,0.326,0.426
10_points_GTv3_97,0.240,0.400,0.525
10_points_GTv3_66,0.239,0.320,0.379
15_points_GTv3_66,0.238,0.388,0.417
20_points_GTv3_04,0.236,0.407,0.536
05_points_GTv3_33,0.236,0.327,0.327
10_points_GTv3_82,0.236,0.429,0.500
15_points_GTv3_34,0.234,0.327,0.427
10_points_GTv3_07,0.232,0.344,0.502
05_points_GTv3_84,0.232,0.350,0.386
15_points_GTv3_35,0.231,0.419,0.583
15_points_GTv3_52,0.229,0.314,0.383
10_points_GTv3_15,0.228,0.347,0.390
15_points_GTv3_46,0.226,0.365,0.427
10_points_GTv3_71,0.225,0.323,0.346
10_points_GTv3_81,0.224,0.304,0.304
15_points_GTv3_40,0.224,0.319,0.524
15_points_GTv3_84,0.221,0.332,0.554
20_points_GTv3_31,0.219,0.471,0.584
10_points_GTv3_18,0.217,0.271,0.303
20_points_GTv3_52,0.217,0.310,0.398
15_points_GTv3_16,0.215,0.304,0.342
15_points_GTv3_77,0.215,0.281,0.397
15_points_GTv3_27,0.214,0.302,0.330
05_points_GTv3_47,0.213,0.283,0.294
20_points_GTv3_01,0.213,0.348,0.384
20_points_GTv3_39,0.210,0.295,0.508
20_points_GTv3_19,0.207,0.289,0.509
10_points_GTv3_95,0.205,0.303,0.464
20_points_GTv3_10,0.200,0.236,0.365
05_points_GTv3_40,0.200,0.369,0.428
15_points_GTv3_26,0.199,0.341,0.468
15_points_GTv3_82,0.198,0.403,0.464
20_points_GTv3_20,0.197,0.277,0.362
15_points_GTv3_71,0.194,0.297,0.371
10_points_GTv3_89,0.192,0.286,0.452
15_points_GTv3_76,0.190,0.277,0.466
05_points_GTv3_61,0.190,0.245,0.422
10_points_GTv3_46,0.190,0.276,0.311
05_points_GTv3_56,0.185,0.318,0.336
15_points_GTv3_47,0.185,0.382,0.482
05_points_GTv3_73,0.184,0.208,0.267
15_points_GTv3_32,0.184,0.218,0.250
20_points_GTv3_36,0.183,0.265,0.359
15_points_GTv3_94,0.179,0.337,0.406
10_points_GTv3_61,0.179,0.286,0.349
15_points_GTv3_21,0.178,0.391,0.503
10_points_GTv3_94,0.174,0.295,0.371
20_points_GTv3_13,0.173,0.259,0.357
05_points_GTv3_25,0.172,0.235,0.235
15_points_GTv3_86,0.169,0.275,0.374
20_points_GTv3_07,0.169,0.228,0.301
10_points_GTv3_53,0.168,0.339,0.514
05_points_GTv3_64,0.165,0.198,0.333
15_points_GTv3_87,0.165,0.292,0.499
15_points_GTv3_68,0.164,0.219,0.293
10_points_GTv3_04,0.164,0.317,0.529
20_points_GTv3_74,0.163,0.221,0.293
20_points_GTv3_27,0.161,0.247,0.523
15_points_GTv3_42,0.161,0.229,0.310
20_points_GTv3_70,0.160,0.240,0.293
05_points_GTv3_78,0.159,0.159,0.328
20_points_GTv3_51,0.159,0.292,0.424
10_points_GTv3_22,0.158,0.204,0.204
20_points_GTv3_34,0.157,0.226,0.356
20_points_GTv3_25,0.156,0.178,0.311
10_points_GTv3_02,0.152,0.226,0.258
20_points_GTv3_11,0.150,0.238,0.486
20_points_GTv3_68,0.150,0.220,0.345
10_points_GTv3_43,0.150,0.259,0.270
10_points_GTv3_42,0.147,0.215,0.357
20_points_GTv3_40,0.146,0.223,0.442
15_points_GTv3_57,0.146,0.265,0.298
10_points_GTv3_23,0.143,0.241,0.276
20_points_GTv3_28,0.140,0.189,0.189
15_points_GTv3_41,0.139,0.196,0.284
15_points_GTv3_13,0.138,0.239,0.344
15_points_GTv3_50,0.135,0.279,0.302
20_points_GTv3_53,0.133,0.239,0.335
